region,offense,incident_count,offense_count,year
Northeast,counterfeiting-forgery,6227,6227,2014
Northeast,counterfeiting-forgery,6256,6256,2015
Northeast,counterfeiting-forgery,624,624,1995
Northeast,counterfeiting-forgery,6402,6402,2018
Northeast,counterfeiting-forgery,5942,5942,2004
Northeast,counterfeiting-forgery,6773,6773,2011
Northeast,counterfeiting-forgery,6836,6836,2005
Northeast,counterfeiting-forgery,3679,3679,2001
Northeast,counterfeiting-forgery,94,94,1994
Northeast,counterfeiting-forgery,3790,3790,2002
Northeast,counterfeiting-forgery,6578,6578,2012
Northeast,counterfeiting-forgery,2655,2655,2000
Northeast,counterfeiting-forgery,6507,6507,2013
Northeast,counterfeiting-forgery,7275,7275,2010
Northeast,counterfeiting-forgery,1663,1663,1999
Northeast,counterfeiting-forgery,6743,6743,2019
Northeast,credit-card-automated-teller-machine-fraud,6798,6798,2007
Northeast,credit-card-automated-teller-machine-fraud,9903,9903,2017
Northeast,credit-card-automated-teller-machine-fraud,382,382,1997
Northeast,credit-card-automated-teller-machine-fraud,477,477,1998
Northeast,credit-card-automated-teller-machine-fraud,3102,3102,2003
Northeast,credit-card-automated-teller-machine-fraud,5679,5679,2006
Northeast,credit-card-automated-teller-machine-fraud,1,1,1993
Northeast,credit-card-automated-teller-machine-fraud,292,292,1996
Northeast,credit-card-automated-teller-machine-fraud,10773,10773,2016
Northeast,credit-card-automated-teller-machine-fraud,8202,8202,2009
Northeast,credit-card-automated-teller-machine-fraud,7933,7933,2008
Northeast,credit-card-automated-teller-machine-fraud,3668,3668,2004
Northeast,credit-card-automated-teller-machine-fraud,8635,8635,2014
Northeast,credit-card-automated-teller-machine-fraud,9249,9249,2015
Northeast,credit-card-automated-teller-machine-fraud,9260,9260,2018
Northeast,credit-card-automated-teller-machine-fraud,213,213,1995
Northeast,credit-card-automated-teller-machine-fraud,4615,4615,2005
Northeast,credit-card-automated-teller-machine-fraud,8886,8886,2011
Northeast,credit-card-automated-teller-machine-fraud,2145,2145,2001
Northeast,credit-card-automated-teller-machine-fraud,1373,1373,2000
Northeast,credit-card-automated-teller-machine-fraud,8856,8856,2012
Northeast,credit-card-automated-teller-machine-fraud,2619,2619,2002
Northeast,credit-card-automated-teller-machine-fraud,12,12,1994
Northeast,credit-card-automated-teller-machine-fraud,761,761,1999
Northeast,credit-card-automated-teller-machine-fraud,8482,8482,2019
Northeast,credit-card-automated-teller-machine-fraud,8883,8883,2013
Northeast,credit-card-automated-teller-machine-fraud,8245,8245,2010
Northeast,destruction-damage-vandalism-of-property,11,11,1993
Northeast,destruction-damage-vandalism-of-property,98688,98688,2006
Northeast,destruction-damage-vandalism-of-property,78317,78317,2003
Northeast,destruction-damage-vandalism-of-property,31904,31904,1998
Northeast,destruction-damage-vandalism-of-property,26588,26588,1997
Northeast,destruction-damage-vandalism-of-property,68308,68308,2017
Northeast,destruction-damage-vandalism-of-property,104784,104784,2007
Northeast,destruction-damage-vandalism-of-property,16146,16146,1995
Northeast,destruction-damage-vandalism-of-property,59988,59988,2018
Northeast,destruction-damage-vandalism-of-property,69615,69615,2015
Northeast,destruction-damage-vandalism-of-property,74392,74392,2014
Northeast,destruction-damage-vandalism-of-property,81814,81814,2004
Northeast,destruction-damage-vandalism-of-property,112445,112445,2008
Northeast,destruction-damage-vandalism-of-property,105466,105466,2009
Northeast,destruction-damage-vandalism-of-property,72477,72477,2016
Northeast,destruction-damage-vandalism-of-property,21257,21257,1996
Northeast,destruction-damage-vandalism-of-property,59940,59940,2001
Northeast,destruction-damage-vandalism-of-property,94003,94003,2011
Northeast,destruction-damage-vandalism-of-property,91829,91829,2005
Northeast,destruction-damage-vandalism-of-property,101218,101218,2010
Northeast,destruction-damage-vandalism-of-property,80946,80946,2013
Northeast,destruction-damage-vandalism-of-property,59425,59425,2019
Northeast,destruction-damage-vandalism-of-property,37357,37357,1999
Northeast,destruction-damage-vandalism-of-property,1258,1258,1994
Northeast,destruction-damage-vandalism-of-property,64057,64057,2002
Northeast,destruction-damage-vandalism-of-property,91113,91113,2012
Northeast,destruction-damage-vandalism-of-property,47469,47469,2000
Northeast,drug-equipment-violations,4543,4543,2004
Northeast,drug-equipment-violations,336,336,1995
Northeast,drug-equipment-violations,4728,4728,2018
Northeast,drug-equipment-violations,5370,5370,2014
Northeast,drug-equipment-violations,5273,5273,2015
Northeast,drug-equipment-violations,379,379,1996
Northeast,drug-equipment-violations,5787,5787,2008
Northeast,drug-equipment-violations,6186,6186,2009
Northeast,drug-equipment-violations,5529,5529,2016
Northeast,drug-equipment-violations,481,481,1997
Northeast,drug-equipment-violations,655,655,1998
Northeast,drug-equipment-violations,5170,5170,2017
Northeast,drug-equipment-violations,4801,4801,2007
Northeast,drug-equipment-violations,3527,3527,2003
Northeast,drug-equipment-violations,5015,5015,2006
Northeast,drug-equipment-violations,1191,1191,1999
Northeast,drug-equipment-violations,4299,4299,2019
Northeast,drug-equipment-violations,5518,5518,2013
Northeast,drug-equipment-violations,6452,6452,2010
Northeast,drug-equipment-violations,5568,5568,2012
Northeast,drug-equipment-violations,1782,1782,2000
Northeast,drug-equipment-violations,6,6,1994
Northeast,drug-equipment-violations,2829,2829,2002
Northeast,drug-equipment-violations,2462,2462,2001
Northeast,drug-equipment-violations,4891,4891,2005
Northeast,drug-equipment-violations,5762,5762,2011
Northeast,drug-violations,26655,26655,2004
Northeast,drug-violations,36552,36552,2014
Northeast,drug-violations,36535,36535,2015
Northeast,drug-violations,3818,3818,1995
Northeast,drug-violations,34412,34412,2018
Northeast,drug-violations,5229,5229,1996
Northeast,drug-violations,37794,37794,2016
Northeast,drug-violations,40286,40286,2008
Northeast,drug-violations,35251,35251,2009
Northeast,drug-violations,1,1,1993
Northeast,drug-violations,36532,36532,2017
Northeast,drug-violations,37500,37500,2007
Northeast,drug-violations,7110,7110,1997
Northeast,drug-violations,8068,8068,1998
Northeast,drug-violations,20347,20347,2003
Northeast,drug-violations,32839,32839,2006
Northeast,drug-violations,10125,10125,1999
Northeast,drug-violations,33257,33257,2019
Northeast,drug-violations,36016,36016,2013
Northeast,drug-violations,36302,36302,2010
Northeast,drug-violations,34984,34984,2012
Northeast,drug-violations,13157,13157,2000
Northeast,drug-violations,468,468,1994
Northeast,drug-violations,17108,17108,2002
Northeast,drug-violations,16490,16490,2001
Northeast,drug-violations,29359,29359,2005
Northeast,drug-violations,34976,34976,2011
Northeast,embezzlement,1351,1351,2006
Northeast,embezzlement,504,504,2003
Northeast,embezzlement,103,103,1998
Northeast,embezzlement,35,35,1997
Northeast,embezzlement,1459,1459,2017
Northeast,embezzlement,1472,1472,2007
Northeast,embezzlement,2,2,1993
Northeast,embezzlement,1611,1611,2008
Northeast,embezzlement,1554,1554,2009
Northeast,embezzlement,1523,1523,2016
Northeast,embezzlement,47,47,1996
Northeast,embezzlement,44,44,1995
Northeast,embezzlement,1340,1340,2018
Northeast,embezzlement,1506,1506,2015
Northeast,embezzlement,1538,1538,2014
Northeast,embezzlement,797,797,2004
Northeast,embezzlement,1416,1416,2011
Northeast,embezzlement,1190,1190,2005
Northeast,embezzlement,292,292,2001
Northeast,embezzlement,27,27,1994
Northeast,embezzlement,388,388,2002
Northeast,embezzlement,1418,1418,2012
Northeast,embezzlement,229,229,2000
Northeast,embezzlement,1367,1367,2010
